old_name,new_name
plant1,Col
plant2,Col
plant3,Col
plant4,Col
plant5,Col
plant6,Col
plant7,Col
plant8,Col
plant9,Col
plant10,Col
plant11,Col
plant12,Col
plant13,Col
plant14,Col
plant15,Col
plant16,Col
plant17,Col
plant18,Col
plant19,Col
plant20,Col
plant21,Col
plant22,Col
plant23,Col
plant24,Col
plant25,Col
plant26,Col
plant27,Col
plant28,Col
plant29,Col
plant30,Col
plant31,Col
plant32,Col
plant33,Col
plant34,Col
plant35,Col
plant36,Col
plant37,Col
plant38,Col
plant39,Col
plant40,Col
plant41,Col
plant42,Col
plant43,Col
plant44,Col
plant45,Col
plant46,Col
plant47,Col
plant48,Col
