time,plant_number,plant_name,stress_level (%),Area (mm^2)
2025-10-26--17-28-52 copy,plant1,Salk-test2,25,173.18595543697856
2025-10-26--17-28-52 copy,plant2,Salk-test2,25,193.10740102961475
2025-10-26--17-28-52 copy,plant3,Salk-test2,25,117.49070898780965
2025-10-26--17-28-52 copy,plant4,Salk-test2,25,151.18551243268382
2025-10-26--17-28-52,plant1,Salk-test1,25,173.18595543697856
2025-10-26--17-28-52,plant2,Salk-test1,25,193.10740102961475
2025-10-26--17-28-52,plant3,Salk-test1,25,117.49070898780965
2025-10-26--17-28-52,plant4,Salk-test1,25,151.18551243268382
2025-10-26--17-28-52,plant1,Salk-test0,25,173.18595543697856
2025-10-26--17-28-52,plant2,Salk-test0,25,193.10740102961475
2025-10-26--17-28-52,plant3,Salk-test0,25,117.49070898780965
2025-10-26--17-28-52,plant4,Salk-test0,25,151.18551243268382
